,poseł,klub/koło,Liczba wypowiedzi (W tym jako członka RM)
0,Mirosław Suchoń,Polska2050,1036
1,Jan Szopiński,Lewica,970
2,Grzegorz Braun,Konfederacja,736
3,Tadeusz Tomaszewski,Lewica,519
4,Rafał Adamczyk,Lewica,462
5,Małgorzata Pępek,KO,403
6,Krystyna Skowrońska,KO,367
7,Michał Gramatyka,Polska2050,337
8,Krzysztof Paszyk,KP,333
9,Dobromir Sośnierz,Wolnościowcy,312
10,Joanna Senyszyn,LD,286
11,Paulina Hennig-Kloska,Polska2050,263
12,Michał Szczerba,KO,262
13,Zofia Czernow,KO,260
14,Klaudia Jachira,KO,255
15,Grzegorz Lorek,PiS,255
16,Krzysztof Gawkowski,Lewica,251
17,Barbara Bartuś,PiS,250
18,Jarosław Rzepa,KP,244
19,Dariusz Klimczak,KP,241
20,Dariusz Wieczorek,Lewica,233
21,Janusz Korwin-Mikke,Konfederacja,229
22,Waldemar Andzel,PiS,221
23,Artur Łącki,KO,221
24,Robert Winnicki,Konfederacja,220
25,Andrzej Grzyb,KP,218
26,Marta Wcisło,KO,216
27,Wanda Nowicka,Lewica,215
28,Iwona Maria Kozłowska,KO,214
29,Michał Urbaniak,Konfederacja,210
30,Janusz Kowalski,PiS,203(14)
31,Hanna Gill-Piątek,niez.,199
32,Krzysztof Grabczuk,KO,198
33,Artur Dziambor,Wolnościowcy,194
34,Franciszek Sterczewski,KO,193
35,Katarzyna Kretkowska,Lewica,191
36,Zdzisław Wolski,Lewica,189
37,Krzysztof Gadowski,KO,181
38,Piotr Borys,KO,178
39,Jarosław Sachajko,Kukiz15,177
40,Monika Falej,Lewica,175
41,Tomasz Zimoch,Polska2050,174
42,Marek Rutka,Lewica,172
43,Paulina Matysiak,Lewica,171
44,Marek Dyduch,Lewica,170
45,Stefan Krajewski,KP,168
46,Małgorzata Chmiel,KO,167
47,Joanna Fabisiak,KO,167
48,Mieczysław Kasprzak,KP,167
49,Robert Obaz,Lewica,163
50,Katarzyna Lubnauer,KO,161
51,Czesław Siekierski,KP,155
52,Grzegorz Rusiecki,KO,152
53,Joanna Borowiak,PiS,150
54,Anna Paluch,PiS,145
55,Monika Rosa,KO,145
56,Krzysztof Bosak,Konfederacja,143
57,Andrzej Szlachta,PiS,143
58,Grzegorz Wojciechowski,PiS,141
59,Krystian Kamiński,Konfederacja,140
60,Paweł Krutul,Lewica,136
61,Krzysztof Piątkowski,KO,136
62,Urszula Zielińska,KO,136
63,Borys Budka,KO,135
64,Przemysław Koperski,Lewica,135
65,Anita Sowińska,Lewica,134
66,Józefa Szczurek-Żelazko,PiS,131(37)
67,Cezary Grabarczyk,KO,126
68,Bożena Żelazowska,KP,126
69,Mateusz Bochenek,KO,124
70,Tomasz Piotr Nowak,KO,123
71,Maciej Kopiec,Lewica,122
72,Anna Kwiecień,PiS,121
73,Stanisław Szwed,PiS,121(121)
74,Henryk Kowalczyk,PiS,120(10)
75,Barbara Nowacka,KO,120
76,Konrad Berkowicz,Konfederacja,119
77,Tomasz Kostuś,KO,119
78,Krzysztof Tuduj,Konfederacja,119
79,Ryszard Wilczyński,KO,119
80,Gabriela Lenartowicz,KO,118
81,Tomasz Olichwer,KO,117
82,Anna Wojciechowska,KO,117
83,Karolina Pawliczak,Lewica,116
84,Zdzisław Sipiera,PiS,116
85,Rafał Weber,PiS,115(115)
86,Jacek Protasiewicz,KP,114
87,Paweł Rychlik,PiS,114
88,Anna Dąbrowska-Banaszek,PiS,113
89,Jarosław Gonciarz,PiS,112
90,Marek Sowa,KO,111
91,Katarzyna Ueberhan,Lewica,110
92,Daria Gosek-Popiołek,Lewica,109
93,Jakub Kulesza,Wolnościowcy,109
94,Wiesław Szczepański,Lewica,108
95,Małgorzata Tracz,KO,107
96,Barbara Dolniak,KO,106
97,Konrad Frysztak,KO,105
98,Izabela Leszczyna,KO,105
99,Andrzej Gawron,PiS,104
100,Barbara Dziuk,PiS,103
101,Dariusz Joński,KO,102
102,Maciej Konieczny,Lewica,102
103,Aleksander Miszalski,KO,102
104,Sławomir Nitras,KO,101
105,Arkadiusz Marchewka,KO,98
106,Urszula Rusecka,PiS,98
107,Monika Wielichowska,KO,98
108,Władysław Kosiniak-Kamysz,KP,96
109,Marek Polak,PiS,96
110,Adam Szłapka,KO,96
111,Piotr Kaleta,PiS,95
112,Mirosława Nykiel,KO,95
113,Adrian Zandberg,Lewica,95
114,Zbigniew Ziejewski,KP,94
115,Magdalena Biejat,Lewica,93
116,Michał Krawczyk,KO,92
117,Janusz Cichoń,KO,91
118,Joanna Mucha,Polska2050,90
119,Ewa Szymańska,PiS,90
120,Beata Maciejewska,Lewica,89
121,Anna Milczanowska,PiS,87
122,Krzysztof Śmiszek,Lewica,87
123,Ryszard Bartosik,PiS,86(77)
124,Urszula Nowogórska,KP,86
125,Jakub Rutnicki,KO,85
126,Krzysztof Tchórzewski,PiS,85
127,Mariusz Trepka,PiS,85
128,Jerzy Polaczek,PiS,84
129,Elżbieta Płonka,PiS,83
130,Dariusz Rosati,KO,83
131,Teresa Wargocka,PiS,83
132,Teresa Pamuła,PiS,80
133,Anita Kucharska-Dziedzic,Lewica,77
134,Lidia Burzyńska,PiS,76
135,Wiesław Buż,Lewica,76
136,Gabriela Masłowska,PiS,76
137,Agnieszka Dziemianowicz-Bąk,Lewica,75
138,Andrzej Kosztowniak,PiS,75
139,Tomasz Latos,PiS,75
140,Marek Suski,PiS,75
141,Iwona Śledzińska-Katarasińska,KO,75
142,Dariusz Kurzawa,KP,74
143,Katarzyna Kotula,Lewica,73
144,Małgorzata Prokop-Paczkowska,Lewica,73
145,Norbert Kaczmarczyk,PiS,72(9)
146,Małgorzata Niemczyk,KO,72
147,Beata Strzałka,PiS,72
148,Aleksandra Gajewska,KO,71
149,Robert Kwiatkowski,LD,71
150,Paweł Szramka,niez.,71
151,Maciej Wąsik,PiS,71(71)
152,Marek Ast,PiS,69
153,Magdalena Łośko,KO,67
154,Kazimierz Smoliński,PiS,67
155,Piotr Adamowicz,KO,66
156,Maciej Lasek,KO,65
157,Marzena Okła-Drewnowicz,KO,64
158,Romuald Ajchler,Lewica,63
159,Maria Małgorzata Janyska,KO,63
160,Wojciech Saługa,KO,63
161,Andrzej Szejna,Lewica,63
162,Kamila Gasiuk-Pihowicz,KO,62
163,Adam Gawęda,PiS,62(4)
164,Kazimierz Plocke,KO,62
165,Marcelina Zawisza,Lewica,62
166,Paweł Hreniak,PiS,61
167,Fryderyk Kapinos,PiS,61
168,Aleksander Mrówczyński,PiS,61
169,Krystyna Szumilas,KO,61
170,Paweł Zalewski,Polska2050,61
171,Dorota Niedziela,KO,59
172,Tomasz Trela,Lewica,59
173,Jarosław Urbaniak,KO,59
174,Maciej Małecki,PiS,58(58)
175,Paweł Szefernaker,PiS,58(52)
176,Robert Telus,PiS,58(5)
177,Anna Ewa Cicholska,PiS,57
178,Agnieszka Hanajczyk,KO,57
179,Jacek Kurzępa,PiS,57
180,Krzysztof Truskolaski,KO,56
181,Patryk Wicher,PiS,56
182,Przemysław Czarnek,PiS,55(20)
183,Ewa Kołodziej,KO,55
184,Piotr Król,PiS,55
185,Cezary Tomczyk,KO,55
186,Łukasz Schreiber,PiS,53(30)
187,Joanna Frydrych,KO,52
188,Marcin Kierwiński,KO,52
189,Ewa Kozanecka,PiS,52
190,Jan Łopata,KP,52
191,Katarzyna Maria Piekarska,KO,52
